run_id,mode,trace,chosen_branch,time_trace_ms,time_A_ms,time_B_ms,total_ms,extra
1,spec,291225,A,0,1271,0,1271,nonce=2087447
2,spec,290956,A,0,1229,0,1229,nonce=2087447
3,spec,294646,A,0,1071,0,1071,nonce=2087447
4,spec,288939,A,0,1080,0,1080,nonce=2087447
5,spec,292566,A,0,1083,0,1083,nonce=2087447
6,spec,291693,A,0,1148,0,1148,nonce=2087447
7,spec,291528,A,0,1244,0,1244,nonce=2087447
8,spec,294857,A,1,1132,0,1132,nonce=2087447
9,spec,291967,A,0,1194,0,1194,nonce=2087447
10,spec,293295,A,0,1120,0,1120,nonce=2087447
11,spec,292743,A,1,1457,1,1457,nonce=2087447
12,spec,289798,A,2,1569,2,1569,nonce=2087447
13,spec,294741,A,0,1395,0,1395,nonce=2087447
14,spec,293839,A,0,1523,0,1523,nonce=2087447
15,spec,290227,A,2,1433,2,1433,nonce=2087447
16,spec,289710,A,0,1496,0,1496,nonce=2087447
17,spec,292756,A,1,1392,1,1392,nonce=2087447
18,spec,288381,A,1,1478,1,1479,nonce=2087447
19,spec,291151,A,1,1523,1,1523,nonce=2087447
20,spec,290531,A,0,1467,0,1467,nonce=2087447
21,spec,292754,A,1,1551,1,1551,nonce=2087447
22,spec,286213,A,1,1451,1,1451,nonce=2087447
23,spec,290898,A,0,1419,0,1419,nonce=2087447
24,spec,288220,A,0,1563,0,1563,nonce=2087447
25,spec,295226,A,0,1425,0,1425,nonce=2087447
26,spec,289084,A,0,1335,0,1335,nonce=2087447
27,spec,290375,A,0,1397,0,1397,nonce=2087447
28,spec,293989,A,0,1331,0,1331,nonce=2087447
29,spec,296720,A,0,2055,0,2055,nonce=2087447
30,spec,289709,A,2,2615,2,2615,nonce=2087447
1,seq,287684,A,0,2737,0,2737,nonce=2087447
2,seq,289739,A,0,3117,0,3118,nonce=2087447
3,seq,290312,A,0,3036,0,3037,nonce=2087447
4,seq,294736,A,0,3025,0,3026,nonce=2087447
5,seq,292397,A,1,3024,0,3025,nonce=2087447
6,seq,286938,A,2,3006,0,3008,nonce=2087447
7,seq,289113,A,1,3099,0,3100,nonce=2087447
8,seq,291289,A,0,2900,0,2901,nonce=2087447
9,seq,289836,A,1,3118,0,3119,nonce=2087447
10,seq,290273,A,0,3030,0,3031,nonce=2087447
11,seq,293607,A,0,2692,0,2693,nonce=2087447
12,seq,288204,A,0,2946,0,2947,nonce=2087447
13,seq,289326,A,1,1630,0,1632,nonce=2087447
14,seq,288218,A,1,1074,0,1076,nonce=2087447
15,seq,291747,A,0,1087,0,1087,nonce=2087447
16,seq,294770,A,0,1078,0,1079,nonce=2087447
17,seq,292683,A,0,1068,0,1068,nonce=2087447
18,seq,295192,A,1,1096,0,1097,nonce=2087447
19,seq,292175,A,1,1090,0,1091,nonce=2087447
20,seq,292225,A,1,1085,0,1087,nonce=2087447
21,seq,292059,A,1,1077,0,1078,nonce=2087447
22,seq,293288,A,0,1086,0,1087,nonce=2087447
23,seq,291187,A,0,1079,0,1079,nonce=2087447
24,seq,289165,A,0,1060,0,1061,nonce=2087447
25,seq,292732,A,0,1080,0,1080,nonce=2087447
26,seq,294625,A,1,1077,0,1078,nonce=2087447
27,seq,297172,A,0,1078,0,1078,nonce=2087447
28,seq,286970,A,0,1076,0,1077,nonce=2087447
29,seq,287670,A,1,1108,0,1109,nonce=2087447
30,seq,293647,A,0,1067,0,1067,nonce=2087447
